id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_log,host_type,occupancy_level,reviews_per_month_bucket,distance_center_km,review_month,review_season,min_nights_category
44435592,Delizioso Monolocale con Idromassaggio,348075146,Ida,Porto - Saragozza,44.49928,11.33394,Entire home/apt,81.0,2,226,2025-09-04,3.74,1,190,33,IT037006C2RRTF4Y4A,4.406719247264253,single-listing,medium,high,0.8452480769067758,9.0,fall,
44443111,Helga House (Appartamento su due livelli),45136743,Andrea,Santo Stefano,44.494567,11.348697,Entire home/apt,333.0,1,163,2025-09-21,2.65,25,283,38,IT037006C2D4YMZA29,5.811140992976701,professional,high,high,0.4849682439072148,9.0,fall,
44528339,UR-NEST Emilia Levante A,39681587,Rino,Savena,44.48184967041016,11.379079818725586,Entire home/apt,186.0,1,11,2025-07-19,0.28,57,164,2,IT037006B4I24D9YXA,5.231108616854587,professional,medium,low,3.242203702758389,7.0,summer,
44550173,UR-NEST Emilia Levante B,39681587,Rino,Savena,44.48184967041016,11.379079818725586,Entire home/apt,119.0,1,5,2025-01-10,0.15,57,154,1,IT037006B4I24D9YXA,4.787491742782046,professional,medium,low,3.242203702758389,1.0,winter,
44550349,UR-NEST Moline,39681587,Rino,Santo Stefano,44.49836730957031,11.346882820129396,Entire home/apt,207.0,1,37,2025-09-14,0.76,57,95,13,IT037006B4I24D9YXA,5.337538079701318,professional,low,medium,0.514519823659135,9.0,fall,
44550803,UR-NEST Saffi,39681587,Rino,Borgo Panigale - Reno,44.50647735595703,11.302777290344238,Entire home/apt,177.0,1,5,2025-08-16,0.31,57,173,4,IT037006B4I24D9YXA,5.181783550292085,professional,medium,low,3.4200934094705397,8.0,summer,
44562877,"15min walk from City, TrainStation, ExhibitionArea",39362835,Mary & Nello,Navile,44.51375961303711,11.352635383605955,Private room,104.0,1,214,2025-09-07,4.51,3,78,50,IT037006B4A9WO7LUX,4.653960350157523,professional,low,high,2.2434245023233026,9.0,fall,
44562961,UR-NEST Marconi 1,39681587,Rino,Porto - Saragozza,44.500431060791016,11.33931827545166,Entire home/apt,124.0,1,18,2025-09-07,0.36,57,105,5,IT037006B4I24D9YXA,4.8283137373023015,professional,low,low,0.6695727795379989,9.0,fall,
44563056,UR-NEST Marconi 2,39681587,Rino,Porto - Saragozza,44.500431060791016,11.33931827545166,Entire home/apt,135.0,1,2,2022-08-30,0.04,57,157,0,IT037006B4I24D9YXA,4.912654885736052,professional,medium,low,0.6695727795379989,8.0,summer,
44563168,UR-NEST Marconi 4,39681587,Rino,Porto - Saragozza,44.500431060791016,11.33931827545166,Entire home/apt,137.0,1,8,2025-06-30,0.21,57,146,2,IT037006B4I24D9YXA,4.927253685157205,professional,medium,low,0.6695727795379989,6.0,summer,
44563289,UR-NEST Marconi 5,39681587,Rino,Porto - Saragozza,44.500431060791016,11.33931827545166,Entire home/apt,137.0,1,0,,0.0,57,162,0,IT037006B4I24D9YXA,4.927253685157205,professional,medium,low,0.6695727795379989,,,
44563373,UR-NEST Marconi 2B,39681587,Rino,Porto - Saragozza,44.500431060791016,11.33931827545166,Entire home/apt,135.0,1,13,2025-07-02,0.26,57,135,7,IT037006B4I24D9YXA,4.912654885736052,professional,medium,low,0.6695727795379989,7.0,summer,
44563446,UR-NEST Marconi 3B,39681587,Rino,Porto - Saragozza,44.500431060791016,11.33931827545166,Entire home/apt,135.0,1,4,2024-06-04,0.08,57,110,0,IT037006B4I24D9YXA,4.912654885736052,professional,low,low,0.6695727795379989,6.0,summer,
44563500,UR-NEST Marconi 4B,39681587,Rino,Porto - Saragozza,44.500431060791016,11.33931827545166,Entire home/apt,137.0,1,4,2025-06-02,0.1,57,75,2,IT037006B4I24D9YXA,4.927253685157205,professional,low,low,0.6695727795379989,6.0,summer,
44563893,UR-NEST Marconi 5B,39681587,Rino,Porto - Saragozza,44.500431060791016,11.33931827545166,Entire home/apt,137.0,1,6,2025-05-17,0.19,57,131,2,IT037006B4I24D9YXA,4.927253685157205,professional,medium,low,0.6695727795379989,5.0,spring,
44568786,Realkasa Towers Loft,228384114,Realkasa,Santo Stefano,44.49327,11.3476,Entire home/apt,173.0,3,62,2025-08-05,1.05,95,97,7,IT037006C2HMUKNX3K,5.159055299214529,professional,low,medium,0.43523739137231116,8.0,summer,very short
44925697,UR-NEST Galleria del Toro,39681587,Rino,Porto - Saragozza,44.49549865722656,11.337573051452637,Entire home/apt,144.0,1,8,2025-05-24,0.28,57,161,3,IT037006B4I24D9YXA,4.976733742420574,professional,medium,low,0.40681454645911236,5.0,spring,
44941363,UR-NEST Indipendenza,39681587,Rino,Porto - Saragozza,44.49868,11.34236,Entire home/apt,207.0,1,46,2025-08-18,0.87,57,78,11,IT037006B4I24D9YXA,5.337538079701318,professional,low,medium,0.4219770311444775,8.0,summer,
45103378,Sweet apartment Lemonia,21512608,Carlo,Borgo Panigale - Reno,44.50775,11.29775,Entire home/apt,54.0,31,4,2023-10-30,0.07,1,335,0,,4.007333185232471,single-listing,high,low,3.843743517958012,10.0,fall,short
45129697,UR-NEST Sant'Apollonia,39681587,Rino,Santo Stefano,44.494850158691406,11.35427474975586,Entire home/apt,132.0,31,1,2021-02-08,0.02,57,306,0,,4.890349128221754,professional,high,low,0.9273056182395407,2.0,winter,short
45147422,UR-NEST Fantin,39681587,Rino,Navile,44.512393951416016,11.330314636230469,Entire home/apt,126.0,1,2,2024-07-24,0.1,57,135,0,IT037006C2GQKOSHL9,4.844187086458591,professional,medium,low,2.1775239272725226,7.0,summer,
45200595,Marcella Homes - Broccaindosso,271535181,Marcella,Santo Stefano,44.49331,11.3555,Entire home/apt,140.0,2,191,2025-09-11,3.21,3,188,41,IT037006B4FT9QXWRS,4.948759890378168,professional,medium,high,1.0396376341755518,9.0,fall,
45212306,ROOM and PRIVATE BATH 3 minutes from the Station,145842663,Luca,Navile,44.50769,11.34684,Private room,90.0,1,743,2025-09-07,12.08,3,154,149,IT037006B4Z5M68B3D,4.51085950651685,professional,medium,high,1.4618167044993906,9.0,fall,
45218269,IL TEATRO studio,15766914,Anthony,Santo Stefano,44.48827,11.34938,Entire home/apt,135.0,3,132,2025-09-19,2.27,3,313,47,IT037006B4AULKVEZ7,4.912654885736052,professional,high,high,0.9111074000584798,9.0,fall,very short
45246262,Colour House Bologna,70934758,Matteo,Santo Stefano,44.48851776123047,11.34912395477295,Entire home/apt,174.0,3,184,2025-09-21,4.45,3,202,56,IT037006C2C27HPVJH,5.1647859739235145,professional,medium,high,0.8768614970884522,9.0,fall,very short
45251585,Train Station Apartment New,365597820,Nirvana,Navile,44.51127,11.34707,Entire home/apt,106.0,1,223,2025-09-20,3.73,1,247,50,IT037006C23DJHSKD8,4.672828834461906,single-listing,medium,high,1.8546506109265721,9.0,fall,
